date_fomc;brw_2020;brw_2024;;corr
25/01/2012;-0.0553059;-0.06382709;;
13/03/2012;-0.0294251;-0.029648501;;
25/04/2012;-0.0286479;-0.030754527;;
20/06/2012;0.0364402;0.041301358;;
01/08/2012;-0.006756;-0.005602447;;
13/09/2012;-0.0591918;-0.065236039;;
24/10/2012;-0.0292267;-0.032185659;;
12/12/2012;-0.0449777;-0.047822967;;
30/01/2013;-0.0223208;-0.023995325;;
20/03/2013;-0.0338093;-0.036265641;;
01/05/2013;0.0316542;0.033158518;;
19/06/2013;0.0516941;0.064015731;;
31/07/2013;0.0243002;0.02640423;;
18/09/2013;-0.0499101;-0.06159633;;
30/10/2013;-0.007441;-0.006842978;;
18/12/2013;-0.0061906;-0.005599519;;
29/01/2014;0.0116536;0.010612656;;
19/03/2014;0.0974278;0.110944256;;
30/04/2014;-0.0094473;-0.011768737;;
18/06/2014;-0.0170654;-0.021007074;;
30/07/2014;-0.0262448;-0.026631275;;
17/09/2014;0.0147312;0.016601879;;
29/10/2014;0.0720776;0.081171639;;
17/12/2014;0.0211809;0.025993371;;
28/01/2015;0.0243021;0.024486547;;
18/03/2015;-0.036584;-0.043516438;;
29/04/2015;-0.040165;-0.042277202;;
17/06/2015;-0.0734485;-0.082104772;;
29/07/2015;-0.0049794;-0.004464651;;
17/09/2015;-0.044471;-0.050438896;;
28/10/2015;0.0632791;0.070513211;;
16/12/2015;0.0205194;0.023574356;;
27/01/2016;-0.0158667;-0.017693961;;
16/03/2016;-0.0743356;-0.083407529;;
27/04/2016;0.0023269;-0.000643042;;
15/06/2016;-0.0325347;-0.03623436;;
27/07/2016;0.010923;0.011493216;;
21/09/2016;0.0242009;0.027177686;;
02/11/2016;-0.0136485;-0.015482442;;
14/12/2016;0.0796401;0.089155473;;
01/02/2017;0.001817;0.002693985;;
15/03/2017;-0.0228038;-0.027242566;;
03/05/2017;0.0348748;0.040073439;;
14/06/2017;0.0349611;0.037206471;;
26/07/2017;-0.0287343;-0.032979246;;
20/09/2017;0.0321512;0.036724683;;
01/11/2017;0.0271779;0.029562719;;
13/12/2017;-0.010656;-0.012879122;;
31/01/2018;0.0430283;0.04673209;;
21/03/2018;-0.0115837;-0.013027991;;
02/05/2018;-0.0210374;-0.023760647;;
13/06/2018;0.0130099;0.014972096;;
01/08/2018;-0.0146746;-0.015172222;;
26/09/2018;0.0064654;0.005902233;;
08/11/2018;0.0215585;0.024261326;;
19/12/2018;0.0365571;0.038647745;;
30/01/2019;-0.0540896;-0.060521733;;
20/03/2019;-0.0226554;-0.026905889;;
01/05/2019;0.0406881;0.045575455;;
19/06/2019;-0.0511383;-0.055606503;;
31/07/2019;0.0572017;0.061068609;;
18/09/2019;0.0373536;0.041388847;;
30/10/2019;0.02513;0.027379552;;
11/12/2019;-0.003236;-0.004283179;;
29/01/2020;0.0027958;0.00122786;;
16/03/2020;-0.0394143;0.04203628;;
29/04/2020;0.002327;-0.04510865;;
10/06/2020;-0.0299658;-0.000366541;;
29/07/2020;-0.0131933;-0.033645425;;
16/09/2020;0.0158562;-0.014703969;;
05/11/2020;-0.0069948;0.017901352;;
16/12/2020;;-0.007625754;;
27/01/2021;;0.005872226;;
17/03/2021;;-0.065168262;;
28/04/2021;;-0.01725704;;
16/06/2021;;0.071578324;;
28/07/2021;;-0.008296205;;
22/09/2021;;0.037892111;;
03/11/2021;;-0.003051541;;
15/12/2021;;-0.017223788;;
26/01/2022;;0.051430464;;
16/03/2022;;0.104210474;;
04/05/2022;;-0.084263004;;
15/06/2022;;-0.156179294;;
27/07/2022;;-0.064728856;;
21/09/2022;;0.108803809;;
02/11/2022;;0.022978263;;
14/12/2022;;-0.006139015;;
01/02/2023;;-0.032326564;;
22/03/2023;;-0.126474187;;
03/05/2023;;-0.05952847;;
14/06/2023;;0.083877072;;
26/07/2023;;-0.042876229;;
20/09/2023;;0.03999836;;
01/11/2023;;-0.063587487;;
13/12/2023;;-0.109358683;;
31/01/2024;;-0.037042569;;
20/03/2024;;-0.06166305;;
01/05/2024;;-0.024580861;;
12/06/2024;;-0.025881795;;
31/07/2024;;-0.018569537;;
18/09/2024;;-0.036267582;;
07/11/2024;;-0.01844468;;
18/12/2024;;0.060303524;;
